Date,Forecast
2024-12-30,242.61821
2024-12-31,241.98271
2025-01-01,240.83305
2025-01-02,239.37318
2025-01-03,237.73615
2025-01-06,236.0075
2025-01-07,234.24208
2025-01-08,232.47488
2025-01-09,230.72803
2025-01-10,229.01541
2025-01-13,227.34552
2025-01-14,225.72328
2025-01-15,224.1512
2025-01-16,222.63045
2025-01-17,221.16095
2025-01-20,219.74208
2025-01-21,218.37265
2025-01-22,217.05125
2025-01-23,215.77618
2025-01-24,214.54579
2025-01-27,213.35822
2025-01-28,212.21165
2025-01-29,211.10422
2025-01-30,210.03424
2025-01-31,208.99998
2025-02-03,207.99974
2025-02-04,207.03201
2025-02-05,206.0952
2025-02-06,205.18791
2025-02-07,204.30878
